start,code,end,train_no
沈阳,0000,北京,120000421606
通辽,0000,上海,16000043100C
北京,D1,沈阳,24000000D10R
北京南,G1,上海虹桥,24000000G10D
北京西,Z1,长沙,24000000Z10C
沈阳,D2,北京,12000000D20H
上海虹桥,G2,北京南,5l000000G230
长沙,Z2,北京西,62000000Z201
北京,D3,沈阳北,24000000D30P
北京南,G3,上海虹桥,24000000G307
北京,K3,二连,24000000K308
北京西,Z3,重庆北,24000000Z30I
沈阳北,D4,北京,12000000D40E
上海虹桥,G4,北京南,5l000000G430
重庆北,Z4,北京西,77000000Z400
北京,D5,沈阳北,24000000D50P
北京南,G5,上海虹桥,24000000G502
北京西,Z5,南宁,24000000Z507
西安,K5,成都,41000000K50F
沈阳北,D6,北京,12000000D60F
上海虹桥,G6,北京南,5l000000G601
南宁,Z6,北京西,71000000Z602
成都,K6,西安,76000000K607
北京,D7,沈阳北,24000000D70K
北京南,G7,上海虹桥,24000000G702
北京西,T7,成都,24000000T70X
北京,Z7,青岛北,24000000Z703
沈阳北,D8,北京,12000000D807
青岛北,Z8,北京,49000000Z803
上海虹桥,G8,北京南,5l000000G811
成都,T8,北京西,76000000T806
北京,D9,沈阳北,24000000D90F
北京西,T9,重庆北,24000000T90R
北京,Z9,杭州,24000000Z90I
沈阳北,D10,北京,1200000D100F
杭州,Z10,北京,5600000Z1020
重庆北,T10,北京西,7700000T1006
北京,D11,沈阳北,2400000D110Q
北京南,G11,上海虹桥,2400000G110H
广州东,Z11,沈阳北,6500000Z1401
沈阳北,D12,北京,1200000D120L
沈阳北,Z12,广州东,1200000Z1205
上海虹桥,G12,北京南,5l00000G1222
沈阳北,Z13,广州东,1200000Z1205
北京,D13,沈阳,2400000D130R
北京南,G13,上海虹桥,2400000G1305
沈阳,D14,北京,1200000D1400
上海虹桥,G14,北京南,5l00000G1440
广州东,Z14,沈阳北,6500000Z1401
北京,D15,沈阳,2400000D150V
北京南,G15,上海虹桥,2400000G150B
北京,Z15,哈尔滨,2400000Z150C
济南,K15,重庆北,4700000K1505
哈尔滨,Z16,北京,0100000Z1608
沈阳,D16,北京,1200000D160Q
上海虹桥,G16,北京南,5l00000G1611
重庆北,K16,济南,7700000K1604
北京,D17,沈阳北,2400000D170D
北京南,G17,上海虹桥,2400000G1708
北京,T17,牡丹江,2400000T170T
北京,Z17,哈尔滨,2400000Z170B
哈尔滨,Z18,北京,0100000Z1804
牡丹江,T18,北京,0300000T1802
沈阳北,D18,北京,1200000D1808
上海虹桥,G18,北京南,5l00000G1826
北京,D19,长春,2400000D190L
北京南,G19,绍兴北,2400000G190D
北京西,Z19,西安,2400000Z190H
长春,D20,北京,1100000D2008
西安,Z20,北京西,4100000Z200H
杭州东,G20,北京南,5600000G2000
北京,D21,珲春,2400000D2110
北京南,G21,上海虹桥,2400000G2108
北京西,K21,南宁,2400000K2112
北京西,Z21,拉萨,2400000Z2108
珲春,D22,北京,1c00000D2202
上海虹桥,G22,北京南,5l00000G2218
南宁,K22,北京西,7100000K2220
拉萨,Z22,北京西,8800000Z2203
北京,D23,长春,2400000D230S
北京南,G23,上海虹桥,2400000G2300
武昌,Z23,深圳,3900000Z2310
长春,D24,北京,1100000D240M
上海虹桥,G24,北京南,5l00000G2400
深圳,Z24,武昌,6500000Z2409
北京,D25,齐齐哈尔南,2400000D2522
北京西,G25,西安北,2400000G2500
武昌,Z25,上海南,3900000Z2500
上海南,T25,南宁,5500000T2530
齐齐哈尔南,D26,北京,0400000D2602
西安北,G26,北京西,4f00000G2602
上海南,Z26,武昌,5500000Z2710
南宁,T26,上海南,7100000T2606
