passenger,name,package,luggage,station,bureau,address
True,八都,False,False,False,南昌铁路局,江西省吉水县八都镇
True,坂尾,False,False,False,南昌铁路局,福建省龙岩市新罗区雁石镇坂尾村
True,彬江,False,False,False,南昌铁路局,江西省宜春袁州区彬江镇三姑桥居委会
True,大深,False,False,False,南昌铁路局,福建省漳平市芦芝乡大深村
True,大洋洲,False,False,False,南昌铁路局,江西省新干县大洋州镇
True,福德,False,False,False,南昌铁路局,福建省泉州市安溪县感德乡福德村
True,福港,False,False,False,南昌铁路局,江西省景德镇市浮梁县蛟潭镇福港乡梧溪村
True,甘棠,False,False,False,南昌铁路局,江西省乐平市礼林镇甘棠火车站
True,感德,False,False,False,南昌铁路局,福建省泉州市安溪县感德乡
True,赣县,False,False,False,南昌铁路局,江西省赣县江口镇
True,安化,False,False,True,广铁集团,湖南省安化县坪口镇
True,赣州东,False,False,False,南昌铁路局,江西省赣县梅林镇
True,高兴镇,False,False,False,南昌铁路局,江西省兴国县高兴镇
True,格口,False,False,False,南昌铁路局,福建省泉州市安溪县感德镇福田乡格口村
True,冠朝,False,False,False,南昌铁路局,江西省泰和县冠朝镇
True,河田,False,False,False,南昌铁路局,福建省龙岩市长汀县河田镇
True,横岗,False,False,False,南昌铁路局,江西省南昌县莲塘镇横岗火车站
True,湖头,False,False,False,南昌铁路局,福建省泉州市安溪县湖头镇
False,连云港站（既有）,False,False,True,上海铁路局,江苏省连云港市新浦区人民东路1号
True,北滘,False,False,True,广铁集团,广东省广东省佛山市顺德区北滘镇西海村群力路与三乐路交叉口轻轨北滘站
True,碧江,False,False,True,广铁集团,广东省广东省佛山市顺德区北滘镇碧江村长宁路17号对面
True,博鳌,False,False,True,广铁集团,海南省琼海市中原镇博鳌火车站
True,长沙,True,True,True,广铁集团,湖南省长沙市车站中路406号
True,长沙南,False,False,True,广铁集团,湖南省长沙市雨花区花侯路
True,常德,True,True,True,广铁集团,湖南省常德市武陵大道北段
True,常平,True,True,True,广铁集团,广东省东莞市常平镇口岸大道13号
True,画桥,False,False,False,南昌铁路局,江西省余江县画桥镇
True,基太,False,False,False,南昌铁路局,福建省漳平市西园乡基太村
True,吉安南,False,False,False,南昌铁路局,江西省吉安县永河镇
True,吉水,False,False,False,南昌铁路局,江西省吉水县文峰镇
True,金峰山,False,False,False,南昌铁路局,福建省龙岩市长汀县古城镇
True,醪桥,False,False,False,南昌铁路局,江西省吉水县醪桥镇
True,阿城,True,True,True,哈尔滨铁路局,黑龙江省哈尔滨市阿城区会宁路61号
True,东海县站（既有）,True,True,True,上海铁路局,江苏省连云港市东海县牛山镇站前街41号
True,新沂站（既有）,True,True,True,上海铁路局,江苏省新沂市徐海路88号
True,邳州站（既有）,True,True,True,上海铁路局,江苏省邳州市解放路1号
True,黄口站（既有）,False,False,True,上海铁路局,安徽省萧县黄口镇人民路南段
True,砀山站（既有）,True,True,True,上海铁路局,安徽省宿州市砀山县站前路1号
True,广州西,False,False,False,广铁集团,广东深广州市荔湾区西湾东路5号
True,锦和,False,False,False,广铁集团,湖南省麻阳县锦和镇
True,泸阳,False,False,False,广铁集团,湖南省中方县泸阳镇
True,马田墟,False,False,False,广铁集团,湖南省永兴县马田镇罗尾村
True,北牟,False,False,False,济南铁路局,山东省淄博市淄川区太河镇北牟村
True,范镇,False,False,False,济南铁路局,山东省泰安市岱岳区范镇镇
True,黑旺,False,False,False,济南铁路局,山东省淄博市淄川区寨里镇
True,潮汕,False,False,True,广铁集团,广东省潮汕市潮安县沙溪镇
True,潮阳,False,False,True,广铁集团,广东省汕头市潮阳区
True,潮州,True,True,True,广铁集团,广东省潮州市安揭路
True,郴州,True,True,True,广铁集团,湖南省郴州市解放路1号
True,郴州西,False,False,True,广铁集团,湖南省郴州市开发区增湖路
True,莲塘,False,False,False,南昌铁路局,江西省南昌县莲塘镇莲镇中大道南井路454号
True,南安,False,False,False,南昌铁路局,福建省南安市美林街道办事处
True,南康,False,False,False,南昌铁路局,江西省南康市金鸡镇
True,南塘镇,False,False,False,南昌铁路局,江西省赣县南塘镇
True,鲇鱼山,False,False,False,南昌铁路局,江西省景德镇市昌江区鲇鱼山镇
True,苹林,False,False,False,南昌铁路局,福建省龙岩市新罗区铁山镇苹林村
True,泉江,False,False,False,南昌铁路局,江西省萍乡市安源区高坑镇泉江村
True,安仁,False,False,True,南昌铁路局,湖南省安仁县军山乡芙塘村
True,安龙,False,False,True,南宁铁路局,贵州省安龙县德卧镇
True,百色,True,True,True,南宁铁路局,广西壮族自治区百色市城东二路3-4号
True,北海,False,False,True,南宁铁路局,广西壮族自治区北海市北京南路
True,阿里河,True,True,True,哈尔滨铁路局,内蒙古自治区呼伦贝尔盟鄂伦春自治旗阿里河镇
True,阿龙山,True,True,True,哈尔滨铁路局,内蒙古自治区呼伦贝尔根河市阿龙山镇
True,阿木尔,False,False,True,哈尔滨铁路局,黑龙江省大兴安岭地区漠河县劲涛镇
True,安达,True,True,True,哈尔滨铁路局,黑龙江省安达市铁路街
True,安家,False,False,True,哈尔滨铁路局,黑龙江省五常市安家镇
True,昂昂溪,True,True,True,哈尔滨铁路局,黑龙江省齐齐哈尔市昂昂溪区陵园路23号
True,八面通,False,False,True,哈尔滨铁路局,黑龙江省穆棱市八面通镇
True,夏邑县站（既有）,True,True,True,上海铁路局,河南省商丘市夏邑县车站镇站前路西段
True,虞城县站（既有）,True,True,True,上海铁路局,河南省商丘市虞城县城关镇车站路中段
True,淮北站（既有）,True,True,True,上海铁路局,安徽省淮北市相山区站前路1号（北）
True,宿州站（既有）,False,False,True,上海铁路局,安徽省宿州市埇桥区工人路248号（西）
True,涡阳站（既有）,True,True,True,上海铁路局,安徽省亳州市涡阳县站前路1号（西）
True,青龙山站（既有）,False,False,True,上海铁路局,安徽省淮北市烈山区青龙山火车站
True,灵璧站（既有）,True,True,True,上海铁路局,安徽省宿州市灵璧县灵璧火车站
True,梅江,False,False,False,广铁集团,重庆市秀山县梅江镇
True,石门县,False,False,False,广铁集团,湖南省石门县
True,塘豹,False,False,False,广铁集团,湖南省通道县县溪镇塘豹村
True,桃映,False,False,False,广铁集团,贵州省江口县桃映镇
,,,,,,
True,口头,False,False,False,济南铁路局,山东省淄博市淄川区太河镇西石门村
True,莱芜西,False,False,False,济南铁路局,山东省莱芜市莱城区张家洼镇大芹村南
